TP_FUNDO;CNPJ_FUNDO;DT_COMPTC;VL_TOTAL;VL_QUOTA;VL_PATRIM_LIQ;CAPTC_DIA;RESG_DIA;NR_COTST
FI;47.062.544/0001-41;2023-07-03;2225658.28;1.113648450000;2227296.90;0.00;0.00;1
FI;47.062.578/0001-36;2023-07-03;2345889.30;1.173795840000;2347591.68;0.00;0.00;1
FI;47.062.606/0001-15;2023-07-03;9929211.33;1.123540200000;9797322.18;10665.59;0.00;1
FI;47.062.639/0001-65;2023-07-03;7288876.30;1.253130030000;7348524.61;45000.00;0.00;122
FI;47.085.563/0001-93;2023-07-03;42855789.91;862.109833100000;42841077.84;0.00;0.00;2
FI;47.085.583/0001-64;2023-07-03;50927482.14;1065.055956170000;26242978.76;0.00;0.00;22
FI;47.102.419/0001-18;2023-07-03;46066606.49;1.116816840000;46088865.49;0.00;0.00;1
FI;47.102.539/0001-15;2023-07-03;24448477.46;1.080782600000;24451052.90;0.00;0.00;7
FI;47.102.627/0001-17;2023-07-03;62924343.42;1066.343103900000;64689704.40;0.00;0.00;1047
FI;47.102.668/0001-03;2023-07-03;24026731.36;982.127215700000;23991357.10;0.00;0.00;18
FI;47.102.746/0001-70;2023-07-03;773714538.90;104.371449900000;773784587.10;0.00;0.00;1
FI;47.102.782/0001-33;2023-07-03;273781311.53;1.028524900000;273779700.10;0.00;0.00;11
FI;47.102.815/0001-45;2023-07-03;273785551.08;1.028535800000;273782598.70;0.00;0.00;11
FI;47.102.861/0001-44;2023-07-03;22765071.25;100.335153300000;22735072.59;0.00;0.00;3
FI;47.103.142/0001-48;2023-07-03;9332327.44;1.087399400000;9330150.81;0.00;0.00;1
FI;47.103.176/0001-32;2023-07-03;34159879.37;1.012049600000;34638074.68;0.00;0.00;1
FI;47.103.323/0001-74;2023-07-03;36178690.11;13.453720200000;36175397.29;0.00;0.00;1
FI;47.103.358/0001-03;2023-07-03;2849062.09;1.025410700000;2847515.83;0.00;0.00;53
FI;47.122.664/0001-97;2023-07-03;42502986.51;1.017545800000;42491414.87;0.00;0.00;2
FI;47.122.703/0001-56;2023-07-03;63172371.59;206.991977000000;63214468.70;0.00;0.00;1
FI;47.122.747/0001-86;2023-07-03;24055158.94;27.211809500000;24059358.45;0.00;0.00;1
FI;47.122.777/0001-92;2023-07-03;24285387.09;27.210236400000;24294512.90;0.00;0.00;1
FI;47.122.807/0001-60;2023-07-03;92234753.11;1.026766000000;92221258.11;0.00;0.00;3
FI;47.122.836/0001-22;2023-07-03;2183165789.01;6.744411250000;2244447787.86;0.00;0.00;1
FI;47.122.902/0001-64;2023-07-03;10393470.19;1.033451000000;10381729.44;0.00;0.00;2
FI;47.122.943/0001-50;2023-07-03;108630072.62;1.017813100000;108640832.27;0.00;0.00;6
FI;47.122.994/0001-82;2023-07-03;38001501.52;0.910449100000;37965488.97;0.00;0.00;1
FI;47.123.029/0001-24;2023-07-03;109029303.19;1.018029100000;108602036.16;0.00;0.00;1
FI;47.123.064/0001-43;2023-07-03;469400190.38;1.051718200000;469384606.87;0.00;0.00;1
FI;47.123.089/0001-47;2023-07-03;283122003.85;1.062550900000;283181508.68;0.00;0.00;1
FI;47.123.113/0001-48;2023-07-03;3147272662.82;10.301546200000;3146919476.75;0.00;0.00;1
FI;47.123.190/0001-06;2023-07-03;108257902.19;1.116531100000;107201462.27;0.00;0.00;1
FI;47.123.213/0001-74;2023-07-03;107227463.39;1.115712400000;107235584.32;0.00;0.00;1
FI;47.123.306/0001-07;2023-07-03;28679944.55;2.499076687700;30194226.87;0.00;0.00;1
FI;47.142.204/0001-20;2023-07-03;19616518612.50;173.959289550000;19605211932.96;0.00;0.00;1
FI;47.142.218/0001-44;2023-07-03;-15393.61;-0.033657120000;-49139.44;0.00;0.00;1
FI;47.142.254/0001-08;2023-07-03;677950073.38;1.153792630000;916547752.23;0.00;0.00;2
FI;47.142.270/0001-09;2023-07-03;135394205.46;0.999406050000;135377079.18;0.00;0.00;1
FI;47.155.639/0001-00;2023-07-03;25808145.37;3324.850186090000;25808185.36;0.00;0.00;1
FI;47.155.672/0001-30;2023-07-03;81287999.48;267.482922400000;81300946.53;0.00;0.00;1
FI;47.155.712/0001-43;2023-07-03;199679113.55;1.114507800000;199706421.13;11179859.01;0.00;1
FI;47.155.750/0001-04;2023-07-03;4957924.29;1.100013800000;5231174.08;0.00;0.00;1
FI;47.155.778/0001-33;2023-07-03;42439693.23;1.060930000000;42430514.41;0.00;0.00;10
FI;47.155.804/0001-23;2023-07-03;51603142.49;1.158356300000;51614034.13;0.00;0.00;2
FI;47.155.842/0001-86;2023-07-03;36725389.67;1.140662500000;36621985.61;3800000.00;24000.00;1
FI;47.167.047/0001-08;2023-07-03;59507127.61;1108.571749530000;59508686.30;0.00;0.00;1
FI;47.167.815/0001-23;2023-07-03;60946790.06;1135.388502320000;60948223.01;0.00;0.00;1
FI;47.167.918/0001-93;2023-07-03;24461351.08;882.681545980000;23661969.06;0.00;0.00;1
FI;47.168.002/0001-58;2023-07-03;7321337.90;28203.867591030000;7314300.58;0.00;0.00;2
FI;47.168.044/0001-99;2023-07-03;13306235.52;4384.154008160000;13297861.84;0.00;0.00;1
FI;47.168.064/0001-60;2023-07-03;20635450.52;1137.070280970000;20628745.28;0.00;0.00;2
FI;47.176.334/0001-84;2023-07-03;2912225.24;290.988029200000;2914165.14;0.00;0.00;72332
FI;47.177.431/0001-91;2023-07-03;2611554.11;0.043238300000;2631445.63;0.00;0.00;235370
FI;47.177.894/0001-53;2023-07-03;15681997.02;0.066109000000;15687041.46;0.00;0.00;505854
FI;47.178.058/0001-93;2023-07-03;539903456.42;3.838907100000;539830260.33;0.00;1064.87;818489
FI;47.178.215/0001-60;2023-07-03;22229354.32;547.680854000000;22245483.32;0.00;54091.73;586
FI;47.178.405/0001-88;2023-07-03;4656397.60;0.007372200000;4657154.77;0.00;0.00;175628
FI;47.179.288/0001-77;2023-07-03;71394811.05;7.367320000000;71628558.09;7227.23;79462.00;968
FI;47.191.993/0001-90;2023-07-03;12104512.90;0.998504400000;12106393.93;0.00;0.00;1
FI;47.192.024/0001-53;2023-07-03;39572320.61;105.350223000000;39552055.61;0.00;0.00;110
FI;47.192.066/0001-94;2023-07-03;333869018.48;1.004760000000;333881736.22;0.00;0.00;1
FI;47.192.118/0001-22;2023-07-03;9483013.73;1.078253200000;9483520.94;0.00;0.00;1
FI;47.192.152/0001-05;2023-07-03;135931108.89;0.954816100000;135730214.71;0.00;0.00;12
FI;47.192.178/0001-45;2023-07-03;58053599.66;1.113816900000;58048353.77;0.00;621827.65;29
FI;47.192.287/0001-62;2023-07-03;10916890.89;1.092165100000;10921651.32;0.00;0.00;1
FI;47.192.313/0001-52;2023-07-03;47580229.51;1.673132300000;47586971.84;0.00;0.00;81
FI;47.192.397/0001-24;2023-07-03;6444312.09;0.947899200000;6444151.51;0.00;0.00;1
FI;47.192.439/0001-27;2023-07-03;3403539.78;0.954134000000;3400226.82;0.00;0.00;14
FI;47.192.482/0001-92;2023-07-03;90638513.58;1.043695400000;90652646.18;0.00;0.00;1
FI;47.192.503/0001-70;2023-07-03;1561891.07;1.116418400000;1562985.77;0.00;0.00;1
FI;47.192.537/0001-64;2023-07-03;10988825.62;8.044284820000;10997905.13;0.00;0.00;1
FI;47.192.657/0001-61;2023-07-03;5946002.25;3.137197800000;5952591.11;0.00;0.00;1
FI;47.192.693/0001-25;2023-07-03;6468727.34;1.124222700000;6431107.38;0.00;0.00;17
FI;47.212.160/0001-68;2023-07-03;11787890.65;1.066652100000;11699407.33;531063.43;0.00;1
FI;47.212.176/0001-70;2023-07-03;27271865.46;1.055248100000;20741471.75;0.00;0.00;1
FI;47.212.284/0001-43;2023-07-03;15525839.48;0.999153400000;15505717.82;17000.00;0.00;1
FI;47.212.306/0001-75;2023-07-03;7367487.06;0.995507200000;7363159.45;0.00;800000.00;1
FI;47.212.318/0001-08;2023-07-03;427988546.81;2.014453200000;427171175.23;352637.23;6759007.70;2385
FI;47.212.331/0001-59;2023-07-03;415301157.91;1.123368100000;414944002.95;15245500.00;750030.00;2
FI;47.212.351/0001-20;2023-07-03;9378081.63;110.240355200000;9386309.91;35000.00;0.00;1
FI;47.212.367/0001-32;2023-07-03;9342478.56;111.454898300000;9378082.68;35000.00;13301.77;1
FI;47.212.385/0001-14;2023-07-03;205562463.05;1.097184300000;205422291.83;54000.00;164580.00;3
FI;47.212.441/0001-10;2023-07-03;91627361.70;1.030262600000;90590223.56;0.00;0.00;1
FI;47.212.453/0001-45;2023-07-03;91628437.05;2.011965000000;92543556.17;0.00;0.00;59
